batting_team,bowling_team,venue,overs,current_score,wickets,runs_last_5_overs,wickets_last_5_overs,total_score
Kolkata Knight Riders,Mumbai Indians,M Chinnaswamy Stadium,15.5,174,3,32,2,198
Sunrisers Hyderabad,Gujarat Titans,Narendra Modi Stadium,14.6,73,2,54,0,125
Kolkata Knight Riders,Gujarat Titans,Sawai Mansingh Stadium,8.4,61,5,41,0,123
Punjab Kings,Lucknow Super Giants,Narendra Modi Stadium,19.1,148,5,33,1,151
Kolkata Knight Riders,Punjab Kings,Wankhede Stadium,14.4,89,4,66,3,123
Kolkata Knight Riders,Chennai Super Kings,MA Chidambaram Stadium,10.6,116,1,50,1,207
Punjab Kings,Lucknow Super Giants,M Chinnaswamy Stadium,19.4,116,5,38,4,119
Kolkata Knight Riders,Punjab Kings,Feroz Shah Kotla,16.6,158,4,29,1,181
Rajasthan Royals,Punjab Kings,Sawai Mansingh Stadium,12.9,90,1,26,1,135
Gujarat Titans,Mumbai Indians,Eden Gardens,12.6,130,2,27,1,198
Kolkata Knight Riders,Sunrisers Hyderabad,Narendra Modi Stadium,15.5,183,3,44,0,205
Lucknow Super Giants,Rajasthan Royals,Arun Jaitley Stadium,19.0,206,2,32,0,214
Punjab Kings,Mumbai Indians,Feroz Shah Kotla,15.4,148,4,43,0,177
Gujarat Titans,Sunrisers Hyderabad,Sawai Mansingh Stadium,16.0,81,1,26,1,106
Delhi Capitals,Chennai Super Kings,M Chinnaswamy Stadium,12.1,100,1,42,1,164
Gujarat Titans,Kolkata Knight Riders,Punjab Cricket Association Stadium,14.1,120,3,53,0,168
Sunrisers Hyderabad,Delhi Capitals,Punjab Cricket Association Stadium,18.6,167,3,67,2,175
Punjab Kings,Royal Challengers Bangalore,Narendra Modi Stadium,6.0,34,0,29,0,149
Lucknow Super Giants,Sunrisers Hyderabad,Wankhede Stadium,17.3,89,2,56,2,107
Delhi Capitals,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,7.6,77,5,66,2,174
Mumbai Indians,Delhi Capitals,Rajiv Gandhi International Stadium,6.5,73,4,25,1,157
Punjab Kings,Gujarat Titans,Sawai Mansingh Stadium,18.8,219,3,39,3,225
Chennai Super Kings,Mumbai Indians,Narendra Modi Stadium,12.2,65,3,30,0,137
Gujarat Titans,Sunrisers Hyderabad,M Chinnaswamy Stadium,14.0,79,1,28,1,116
Lucknow Super Giants,Sunrisers Hyderabad,Arun Jaitley Stadium,19.3,147,5,28,2,153
Kolkata Knight Riders,Gujarat Titans,MA Chidambaram Stadium,6.6,55,0,46,0,146
Gujarat Titans,Sunrisers Hyderabad,Narendra Modi Stadium,6.7,63,4,64,0,191
Chennai Super Kings,Punjab Kings,Sawai Mansingh Stadium,5.2,61,0,65,0,207
Chennai Super Kings,Gujarat Titans,MA Chidambaram Stadium,19.1,165,4,65,0,170
Lucknow Super Giants,Kolkata Knight Riders,Wankhede Stadium,18.8,211,2,33,1,221
Kolkata Knight Riders,Delhi Capitals,M Chinnaswamy Stadium,6.1,72,5,32,4,158
Rajasthan Royals,Delhi Capitals,Narendra Modi Stadium,18.5,204,0,26,0,223
Gujarat Titans,Kolkata Knight Riders,Sawai Mansingh Stadium,7.2,65,5,37,0,172
Royal Challengers Bangalore,Gujarat Titans,Rajiv Gandhi International Stadium,16.8,201,6,30,2,222
Royal Challengers Bangalore,Punjab Kings,Feroz Shah Kotla,14.0,105,1,48,1,160
Royal Challengers Bangalore,Kolkata Knight Riders,Rajiv Gandhi International Stadium,13.1,145,1,26,1,193
Punjab Kings,Mumbai Indians,Sawai Mansingh Stadium,7.0,35,2,44,1,144
Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,16.4,127,3,66,1,154
Kolkata Knight Riders,Lucknow Super Giants,M Chinnaswamy Stadium,19.2,162,2,28,0,166
Mumbai Indians,Chennai Super Kings,Arun Jaitley Stadium,7.2,42,2,65,1,123
Royal Challengers Bangalore,Kolkata Knight Riders,Arun Jaitley Stadium,7.8,41,1,32,0,119
Kolkata Knight Riders,Chennai Super Kings,M Chinnaswamy Stadium,11.7,75,3,60,1,157
Chennai Super Kings,Lucknow Super Giants,M Chinnaswamy Stadium,18.4,99,3,34,1,112
Chennai Super Kings,Punjab Kings,M Chinnaswamy Stadium,10.3,84,1,36,1,172
Royal Challengers Bangalore,Kolkata Knight Riders,Rajiv Gandhi International Stadium,6.6,53,2,41,0,150
Rajasthan Royals,Kolkata Knight Riders,Narendra Modi Stadium,8.1,59,2,55,2,161
Gujarat Titans,Royal Challengers Bangalore,Feroz Shah Kotla,13.5,137,1,37,0,201
Rajasthan Royals,Punjab Kings,Feroz Shah Kotla,13.3,99,3,31,0,138
Delhi Capitals,Gujarat Titans,Punjab Cricket Association Stadium,7.7,53,2,48,2,148
Mumbai Indians,Rajasthan Royals,Punjab Cricket Association Stadium,19.1,211,2,55,2,217
Rajasthan Royals,Chennai Super Kings,M Chinnaswamy Stadium,16.2,102,2,35,0,136
Chennai Super Kings,Rajasthan Royals,MA Chidambaram Stadium,9.2,83,1,48,0,167
Delhi Capitals,Lucknow Super Giants,Feroz Shah Kotla,6.9,37,3,55,2,132
Kolkata Knight Riders,Sunrisers Hyderabad,Sawai Mansingh Stadium,10.1,116,3,67,0,168
Gujarat Titans,Rajasthan Royals,Eden Gardens,15.7,141,3,32,0,182
Lucknow Super Giants,Royal Challengers Bangalore,Feroz Shah Kotla,14.6,126,4,41,1,172
Delhi Capitals,Royal Challengers Bangalore,Narendra Modi Stadium,12.3,81,5,67,1,118
Delhi Capitals,Chennai Super Kings,Narendra Modi Stadium,16.5,154,3,39,0,186
Chennai Super Kings,Gujarat Titans,Feroz Shah Kotla,5.5,49,4,63,0,145
Gujarat Titans,Rajasthan Royals,Sawai Mansingh Stadium,16.6,100,3,56,1,123
Rajasthan Royals,Kolkata Knight Riders,Punjab Cricket Association Stadium,7.6,86,4,51,1,143
Chennai Super Kings,Kolkata Knight Riders,Punjab Cricket Association Stadium,17.6,202,4,50,1,222
Chennai Super Kings,Rajasthan Royals,Rajiv Gandhi International Stadium,18.5,212,1,69,1,229
Rajasthan Royals,Lucknow Super Giants,Punjab Cricket Association Stadium,17.6,151,2,40,1,168
Royal Challengers Bangalore,Rajasthan Royals,Eden Gardens,10.8,94,3,45,0,163
Kolkata Knight Riders,Mumbai Indians,Feroz Shah Kotla,7.0,43,3,51,1,156
Chennai Super Kings,Sunrisers Hyderabad,Wankhede Stadium,7.6,89,1,28,1,164
Mumbai Indians,Chennai Super Kings,Wankhede Stadium,15.9,102,2,26,1,125
Sunrisers Hyderabad,Rajasthan Royals,Narendra Modi Stadium,16.2,132,3,31,0,169
Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,18.7,142,2,26,0,154
Royal Challengers Bangalore,Delhi Capitals,Eden Gardens,14.6,75,1,55,0,109
Delhi Capitals,Gujarat Titans,Feroz Shah Kotla,16.6,103,2,35,2,134
Punjab Kings,Delhi Capitals,Arun Jaitley Stadium,8.0,56,1,28,0,125
Kolkata Knight Riders,Chennai Super Kings,Arun Jaitley Stadium,7.6,69,4,42,1,166
Delhi Capitals,Rajasthan Royals,Arun Jaitley Stadium,10.9,96,4,64,2,158
Sunrisers Hyderabad,Royal Challengers Bangalore,MA Chidambaram Stadium,5.3,36,3,62,2,131
Lucknow Super Giants,Kolkata Knight Riders,MA Chidambaram Stadium,5.3,60,1,37,1,223
Kolkata Knight Riders,Mumbai Indians,Punjab Cricket Association Stadium,8.0,40,3,52,1,162
Gujarat Titans,Mumbai Indians,Sawai Mansingh Stadium,11.1,85,1,32,1,170
Mumbai Indians,Delhi Capitals,Wankhede Stadium,8.6,66,2,38,1,172
Rajasthan Royals,Delhi Capitals,M Chinnaswamy Stadium,18.6,188,1,36,1,200
Royal Challengers Bangalore,Kolkata Knight Riders,Narendra Modi Stadium,13.7,100,2,57,1,150
Lucknow Super Giants,Gujarat Titans,MA Chidambaram Stadium,8.6,92,4,29,1,201
Delhi Capitals,Lucknow Super Giants,MA Chidambaram Stadium,11.5,72,7,47,0,135
Lucknow Super Giants,Gujarat Titans,Sawai Mansingh Stadium,18.7,98,3,66,0,109
Royal Challengers Bangalore,Lucknow Super Giants,Arun Jaitley Stadium,9.3,106,7,51,0,148
Royal Challengers Bangalore,Chennai Super Kings,Narendra Modi Stadium,6.1,60,2,39,2,186
Lucknow Super Giants,Delhi Capitals,Eden Gardens,17.8,165,1,64,0,190
Lucknow Super Giants,Delhi Capitals,M Chinnaswamy Stadium,12.7,146,5,53,3,191
Royal Challengers Bangalore,Gujarat Titans,Rajiv Gandhi International Stadium,15.7,104,1,37,0,134
Lucknow Super Giants,Kolkata Knight Riders,MA Chidambaram Stadium,5.6,28,4,67,1,125
Kolkata Knight Riders,Mumbai Indians,Narendra Modi Stadium,17.7,205,2,69,0,230
Rajasthan Royals,Lucknow Super Giants,Wankhede Stadium,14.4,133,2,34,0,189
Delhi Capitals,Rajasthan Royals,Rajiv Gandhi International Stadium,10.1,54,5,59,1,135
Chennai Super Kings,Delhi Capitals,MA Chidambaram Stadium,8.3,54,3,64,0,120
Gujarat Titans,Mumbai Indians,Eden Gardens,17.9,209,4,43,1,226
Rajasthan Royals,Sunrisers Hyderabad,Punjab Cricket Association Stadium,12.2,67,2,63,1,136
Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,17.0,126,4,54,4,150
Delhi Capitals,Kolkata Knight Riders,Narendra Modi Stadium,14.0,143,3,62,0,184
Chennai Super Kings,Punjab Kings,Arun Jaitley Stadium,15.8,96,3,37,3,131
Royal Challengers Bangalore,Gujarat Titans,Punjab Cricket Association Stadium,12.8,133,1,49,1,203
Gujarat Titans,Chennai Super Kings,Rajiv Gandhi International Stadium,18.5,105,2,38,1,118
Mumbai Indians,Chennai Super Kings,MA Chidambaram Stadium,10.0,93,0,64,0,206
Kolkata Knight Riders,Lucknow Super Giants,M Chinnaswamy Stadium,5.4,27,4,37,2,106
Mumbai Indians,Sunrisers Hyderabad,Punjab Cricket Association Stadium,16.5,162,1,55,1,203
Sunrisers Hyderabad,Gujarat Titans,Feroz Shah Kotla,7.2,57,4,69,1,131
Gujarat Titans,Kolkata Knight Riders,Punjab Cricket Association Stadium,8.1,42,5,64,4,99
Chennai Super Kings,Kolkata Knight Riders,MA Chidambaram Stadium,5.5,62,3,30,1,150
Punjab Kings,Kolkata Knight Riders,Rajiv Gandhi International Stadium,12.1,65,3,45,0,107
Gujarat Titans,Delhi Capitals,Punjab Cricket Association Stadium,10.7,89,4,26,1,143
Chennai Super Kings,Royal Challengers Bangalore,Feroz Shah Kotla,19.3,115,4,39,1,119
Kolkata Knight Riders,Royal Challengers Bangalore,MA Chidambaram Stadium,5.5,30,1,50,1,127
Lucknow Super Giants,Kolkata Knight Riders,Feroz Shah Kotla,6.5,61,1,67,0,185
Chennai Super Kings,Lucknow Super Giants,Punjab Cricket Association Stadium,15.3,169,4,65,2,206
Mumbai Indians,Lucknow Super Giants,M Chinnaswamy Stadium,12.6,127,0,27,0,179
Lucknow Super Giants,Punjab Kings,Narendra Modi Stadium,17.6,115,2,60,1,135
Punjab Kings,Sunrisers Hyderabad,MA Chidambaram Stadium,15.4,101,5,26,0,130
Chennai Super Kings,Gujarat Titans,Rajiv Gandhi International Stadium,17.6,177,3,69,0,200
Gujarat Titans,Mumbai Indians,Wankhede Stadium,13.4,108,5,51,1,155
Delhi Capitals,Rajasthan Royals,MA Chidambaram Stadium,14.2,143,3,35,1,199
Mumbai Indians,Rajasthan Royals,Arun Jaitley Stadium,12.1,81,3,51,0,137
Royal Challengers Bangalore,Delhi Capitals,Punjab Cricket Association Stadium,19.1,130,3,68,1,134
Sunrisers Hyderabad,Kolkata Knight Riders,Rajiv Gandhi International Stadium,7.5,64,3,52,1,137
Chennai Super Kings,Rajasthan Royals,Wankhede Stadium,5.5,55,6,30,0,114
Royal Challengers Bangalore,Sunrisers Hyderabad,Feroz Shah Kotla,12.7,146,0,30,0,215
Mumbai Indians,Rajasthan Royals,M Chinnaswamy Stadium,5.6,33,2,67,2,154
Mumbai Indians,Punjab Kings,M Chinnaswamy Stadium,12.1,116,1,38,1,195
Lucknow Super Giants,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,19.1,108,3,56,3,115
Punjab Kings,Mumbai Indians,Punjab Cricket Association Stadium,17.6,158,0,66,0,183
Lucknow Super Giants,Sunrisers Hyderabad,Eden Gardens,10.7,102,1,69,0,214
Kolkata Knight Riders,Rajasthan Royals,Punjab Cricket Association Stadium,10.9,120,5,55,3,194
Gujarat Titans,Mumbai Indians,Punjab Cricket Association Stadium,6.7,59,0,39,0,175
Royal Challengers Bangalore,Chennai Super Kings,Rajiv Gandhi International Stadium,15.1,116,2,35,0,160
Lucknow Super Giants,Kolkata Knight Riders,Punjab Cricket Association Stadium,14.7,137,3,46,0,173
Sunrisers Hyderabad,Mumbai Indians,Sawai Mansingh Stadium,10.5,81,6,25,0,117
Rajasthan Royals,Royal Challengers Bangalore,Feroz Shah Kotla,14.4,162,2,67,0,195
Royal Challengers Bangalore,Rajasthan Royals,Eden Gardens,12.0,81,2,49,0,153
Delhi Capitals,Mumbai Indians,Narendra Modi Stadium,15.4,106,1,33,1,147
Sunrisers Hyderabad,Mumbai Indians,M Chinnaswamy Stadium,15.3,87,3,61,1,127
Kolkata Knight Riders,Mumbai Indians,Feroz Shah Kotla,18.8,173,3,52,1,185
Kolkata Knight Riders,Gujarat Titans,Wankhede Stadium,10.1,67,3,55,0,151
Chennai Super Kings,Lucknow Super Giants,Sawai Mansingh Stadium,11.6,105,3,29,0,177
Sunrisers Hyderabad,Delhi Capitals,Sawai Mansingh Stadium,13.8,121,2,47,1,180
Punjab Kings,Kolkata Knight Riders,Punjab Cricket Association Stadium,10.9,87,3,29,2,135
Rajasthan Royals,Punjab Kings,Feroz Shah Kotla,6.2,69,1,35,0,153
Gujarat Titans,Chennai Super Kings,M Chinnaswamy Stadium,12.5,68,4,48,0,115
Punjab Kings,Kolkata Knight Riders,Eden Gardens,14.7,175,4,50,1,218
Royal Challengers Bangalore,Rajasthan Royals,Wankhede Stadium,7.9,69,1,59,0,190
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,16.5,189,2,69,2,220
Rajasthan Royals,Gujarat Titans,Sawai Mansingh Stadium,6.3,64,3,26,0,152
Royal Challengers Bangalore,Sunrisers Hyderabad,Arun Jaitley Stadium,10.2,57,3,45,1,156
Mumbai Indians,Royal Challengers Bangalore,Arun Jaitley Stadium,12.2,145,3,61,1,222
Royal Challengers Bangalore,Punjab Kings,Narendra Modi Stadium,16.7,175,1,43,0,208
Rajasthan Royals,Gujarat Titans,Sawai Mansingh Stadium,10.0,118,2,63,2,217
Rajasthan Royals,Lucknow Super Giants,Feroz Shah Kotla,7.5,63,1,41,0,135
Lucknow Super Giants,Sunrisers Hyderabad,Sawai Mansingh Stadium,7.0,82,3,47,1,193
Kolkata Knight Riders,Mumbai Indians,Sawai Mansingh Stadium,8.1,75,2,60,1,210
Delhi Capitals,Mumbai Indians,Feroz Shah Kotla,5.8,57,2,30,0,140
Lucknow Super Giants,Punjab Kings,MA Chidambaram Stadium,15.0,81,4,53,1,107
Royal Challengers Bangalore,Delhi Capitals,Eden Gardens,17.9,145,1,43,1,162
Gujarat Titans,Lucknow Super Giants,Punjab Cricket Association Stadium,12.0,61,2,49,0,103
Gujarat Titans,Lucknow Super Giants,M Chinnaswamy Stadium,8.5,100,3,49,2,188
Punjab Kings,Rajasthan Royals,MA Chidambaram Stadium,7.2,52,3,45,3,165
Royal Challengers Bangalore,Rajasthan Royals,Punjab Cricket Association Stadium,11.3,76,1,65,1,162
Chennai Super Kings,Lucknow Super Giants,Punjab Cricket Association Stadium,18.0,170,1,48,0,190
Punjab Kings,Chennai Super Kings,Arun Jaitley Stadium,12.4,121,0,28,0,170
Punjab Kings,Royal Challengers Bangalore,Wankhede Stadium,5.2,60,2,40,2,154
Mumbai Indians,Lucknow Super Giants,Punjab Cricket Association Stadium,6.4,61,2,28,1,197
Punjab Kings,Sunrisers Hyderabad,Narendra Modi Stadium,14.1,108,1,52,1,142
Sunrisers Hyderabad,Kolkata Knight Riders,Sawai Mansingh Stadium,19.0,201,4,61,1,207
Kolkata Knight Riders,Mumbai Indians,Punjab Cricket Association Stadium,18.5,121,2,52,1,130
Rajasthan Royals,Chennai Super Kings,Punjab Cricket Association Stadium,7.9,88,6,58,2,176
Mumbai Indians,Rajasthan Royals,Eden Gardens,14.5,90,3,32,0,139
Rajasthan Royals,Gujarat Titans,Arun Jaitley Stadium,16.9,109,5,38,2,131
Royal Challengers Bangalore,Chennai Super Kings,Punjab Cricket Association Stadium,16.0,97,1,36,1,130
Sunrisers Hyderabad,Chennai Super Kings,M Chinnaswamy Stadium,16.6,106,3,40,2,137
Punjab Kings,Gujarat Titans,Sawai Mansingh Stadium,5.5,56,2,39,0,159
Gujarat Titans,Chennai Super Kings,Rajiv Gandhi International Stadium,17.7,211,4,42,1,221
Punjab Kings,Mumbai Indians,Feroz Shah Kotla,14.0,104,1,51,1,140
Rajasthan Royals,Mumbai Indians,MA Chidambaram Stadium,13.4,119,4,62,1,151
Punjab Kings,Lucknow Super Giants,Punjab Cricket Association Stadium,9.8,102,4,39,1,160
Lucknow Super Giants,Delhi Capitals,Sawai Mansingh Stadium,13.7,139,6,43,1,179
Chennai Super Kings,Sunrisers Hyderabad,Wankhede Stadium,13.5,84,2,26,1,139
Mumbai Indians,Kolkata Knight Riders,M Chinnaswamy Stadium,9.3,107,3,33,1,189
Chennai Super Kings,Delhi Capitals,Feroz Shah Kotla,6.9,38,5,52,0,141
Kolkata Knight Riders,Chennai Super Kings,Arun Jaitley Stadium,14.5,169,0,27,0,212
Gujarat Titans,Lucknow Super Giants,Eden Gardens,8.6,97,1,59,1,166
Rajasthan Royals,Delhi Capitals,Arun Jaitley Stadium,12.1,63,0,65,0,139
Kolkata Knight Riders,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,11.0,81,1,54,1,156
Mumbai Indians,Gujarat Titans,Arun Jaitley Stadium,8.8,89,3,50,2,166
Sunrisers Hyderabad,Delhi Capitals,Eden Gardens,6.7,40,1,63,1,125
Lucknow Super Giants,Delhi Capitals,Arun Jaitley Stadium,17.5,176,0,56,0,199
Chennai Super Kings,Mumbai Indians,Arun Jaitley Stadium,12.0,73,5,49,0,126
Punjab Kings,Rajasthan Royals,Feroz Shah Kotla,16.7,137,0,60,0,162
Delhi Capitals,Lucknow Super Giants,M Chinnaswamy Stadium,7.4,54,2,64,2,155
Lucknow Super Giants,Delhi Capitals,Arun Jaitley Stadium,19.3,200,0,27,0,206
Chennai Super Kings,Punjab Kings,Narendra Modi Stadium,6.5,62,4,48,0,180
Punjab Kings,Mumbai Indians,M Chinnaswamy Stadium,13.4,126,4,56,1,186
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,18.1,125,2,33,2,140
Punjab Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,13.9,77,7,32,2,98
Punjab Kings,Mumbai Indians,Sawai Mansingh Stadium,13.1,113,2,57,0,185
Gujarat Titans,Rajasthan Royals,Eden Gardens,16.9,148,4,41,2,165
Royal Challengers Bangalore,Lucknow Super Giants,Arun Jaitley Stadium,15.3,164,1,31,0,204
Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium,15.9,151,5,30,1,182
Punjab Kings,Lucknow Super Giants,MA Chidambaram Stadium,6.0,37,3,53,1,130
Kolkata Knight Riders,Delhi Capitals,Rajiv Gandhi International Stadium,8.1,42,6,36,2,93
Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,11.5,94,4,44,0,166
Sunrisers Hyderabad,Punjab Kings,MA Chidambaram Stadium,18.3,127,5,68,1,141
Chennai Super Kings,Royal Challengers Bangalore,MA Chidambaram Stadium,9.1,101,1,49,0,179
Gujarat Titans,Royal Challengers Bangalore,Feroz Shah Kotla,5.2,43,2,38,1,203
Mumbai Indians,Lucknow Super Giants,MA Chidambaram Stadium,17.4,168,3,35,1,189
Lucknow Super Giants,Mumbai Indians,Narendra Modi Stadium,19.4,213,1,62,1,216
Chennai Super Kings,Sunrisers Hyderabad,Feroz Shah Kotla,18.2,176,5,44,3,188
Delhi Capitals,Lucknow Super Giants,Punjab Cricket Association Stadium,14.2,129,3,42,1,189
Rajasthan Royals,Sunrisers Hyderabad,Feroz Shah Kotla,13.7,139,2,36,0,190
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,5.7,34,3,33,1,121
Chennai Super Kings,Gujarat Titans,Rajiv Gandhi International Stadium,12.5,62,0,34,0,112
Kolkata Knight Riders,Rajasthan Royals,Feroz Shah Kotla,9.9,105,3,42,0,190
Lucknow Super Giants,Punjab Kings,Sawai Mansingh Stadium,6.7,49,5,37,1,131
Royal Challengers Bangalore,Sunrisers Hyderabad,MA Chidambaram Stadium,18.2,181,5,53,0,190
Punjab Kings,Sunrisers Hyderabad,MA Chidambaram Stadium,5.9,54,1,42,1,144
Mumbai Indians,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,11.1,113,0,28,0,225
Lucknow Super Giants,Mumbai Indians,Feroz Shah Kotla,14.7,143,2,53,2,174
Delhi Capitals,Lucknow Super Giants,MA Chidambaram Stadium,18.1,98,1,25,1,114
Delhi Capitals,Sunrisers Hyderabad,Eden Gardens,13.4,71,1,40,1,126
Kolkata Knight Riders,Lucknow Super Giants,Sawai Mansingh Stadium,14.8,102,4,63,2,141
Lucknow Super Giants,Sunrisers Hyderabad,Arun Jaitley Stadium,10.4,95,3,44,0,191
Lucknow Super Giants,Delhi Capitals,Feroz Shah Kotla,10.0,60,0,54,0,125
Lucknow Super Giants,Kolkata Knight Riders,MA Chidambaram Stadium,10.9,78,3,69,1,130
Gujarat Titans,Mumbai Indians,Wankhede Stadium,12.0,62,3,26,1,102
Royal Challengers Bangalore,Gujarat Titans,Rajiv Gandhi International Stadium,16.0,131,2,68,0,174
Chennai Super Kings,Delhi Capitals,Narendra Modi Stadium,13.7,147,4,40,1,194
Lucknow Super Giants,Gujarat Titans,Sawai Mansingh Stadium,12.9,133,3,33,0,181
Delhi Capitals,Chennai Super Kings,Arun Jaitley Stadium,8.9,104,3,44,1,184
Lucknow Super Giants,Royal Challengers Bangalore,Sawai Mansingh Stadium,19.4,216,3,42,0,220
Rajasthan Royals,Mumbai Indians,Eden Gardens,12.9,85,5,60,0,142
Chennai Super Kings,Mumbai Indians,Sawai Mansingh Stadium,9.0,100,2,69,2,183
Delhi Capitals,Gujarat Titans,Punjab Cricket Association Stadium,9.1,58,3,50,2,163
Rajasthan Royals,Delhi Capitals,Arun Jaitley Stadium,16.1,145,2,63,2,167
Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,17.8,144,3,46,2,156
Sunrisers Hyderabad,Lucknow Super Giants,M Chinnaswamy Stadium,9.3,69,2,68,0,191
Kolkata Knight Riders,Delhi Capitals,Narendra Modi Stadium,14.8,159,1,58,1,214
Punjab Kings,Kolkata Knight Riders,Narendra Modi Stadium,16.1,154,3,46,0,182
Punjab Kings,Royal Challengers Bangalore,Sawai Mansingh Stadium,10.9,59,1,61,1,167
Lucknow Super Giants,Rajasthan Royals,Rajiv Gandhi International Stadium,12.6,89,0,47,0,137
Sunrisers Hyderabad,Chennai Super Kings,Arun Jaitley Stadium,10.8,76,1,61,1,147
Delhi Capitals,Lucknow Super Giants,Feroz Shah Kotla,11.9,78,5,64,1,135
Lucknow Super Giants,Delhi Capitals,Eden Gardens,14.1,77,4,49,1,128
Kolkata Knight Riders,Gujarat Titans,Narendra Modi Stadium,8.9,75,1,53,0,192
Delhi Capitals,Kolkata Knight Riders,Wankhede Stadium,9.6,48,1,37,1,164
Punjab Kings,Royal Challengers Bangalore,Arun Jaitley Stadium,5.1,34,2,41,0,190
Rajasthan Royals,Lucknow Super Giants,Wankhede Stadium,9.5,99,5,55,1,175
Kolkata Knight Riders,Mumbai Indians,Rajiv Gandhi International Stadium,15.2,76,2,68,2,104
Rajasthan Royals,Delhi Capitals,Feroz Shah Kotla,16.3,154,0,41,0,188
Lucknow Super Giants,Kolkata Knight Riders,Punjab Cricket Association Stadium,8.0,60,1,59,1,194
Delhi Capitals,Sunrisers Hyderabad,Feroz Shah Kotla,8.1,77,3,52,0,144
Gujarat Titans,Mumbai Indians,Eden Gardens,14.4,146,2,57,0,206
Delhi Capitals,Chennai Super Kings,Eden Gardens,9.2,69,0,30,0,196
Lucknow Super Giants,Mumbai Indians,Sawai Mansingh Stadium,5.2,39,1,30,1,161
Delhi Capitals,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,12.7,116,0,45,0,175
Punjab Kings,Lucknow Super Giants,Narendra Modi Stadium,16.2,168,2,25,2,194
Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium,5.3,37,3,25,0,163
Delhi Capitals,Chennai Super Kings,Punjab Cricket Association Stadium,19.1,208,0,65,0,215
Mumbai Indians,Lucknow Super Giants,Wankhede Stadium,9.4,51,1,46,1,114
Delhi Capitals,Lucknow Super Giants,Arun Jaitley Stadium,18.9,219,4,41,0,225
Sunrisers Hyderabad,Chennai Super Kings,Rajiv Gandhi International Stadium,7.0,65,2,61,1,187
Sunrisers Hyderabad,Chennai Super Kings,Eden Gardens,8.8,65,4,27,0,116
Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium,14.1,114,2,35,1,147
Lucknow Super Giants,Gujarat Titans,Arun Jaitley Stadium,9.0,95,3,32,1,152
